# Medicare Psych Comorbidity Mappings - ICD10 diagnosis codes with decimals
# File created for Medicare Inpatient FY2026: (08/11/2025 KC)
#
# This file contains the comorbidity mappings used with Medicare Psych
# Combined Comorbidity Assignment. The adjustment factors and comorbidity categories
# in this file have been set by CMS effective 10/01/2025.  It provides the 
# adjustment factor and comorbidity category for each psychiatric ICD10 secondary 
# diagnosis code that is eligible for an adjustment per CMS source data found on 
# CMS website. 
#
# This file is selected on the Date and File tab of the Psych Combined Comorbidity 
# Factors Assignment screen. It should be copied to a directory accessible by the
# person running this calculation.
# 
# Note that if more than one code exists for an encounter that is mapped to the 
# same comorbidity category, the assignment will apply the adjustment only one time.
#
#
# The ICD10 diagnosis codes used below include decimals.
#
# Comorbidity Category Definitions
#  1 - Developmental Disabilities
#  2 - Coagulation Factor Deficits
#  3 - Tracheostomy
#  4 - Renal Failure, Acute
#  5 - Renal Failure, Chronic
#  6 - Oncology Treatment
#  7 - Uncontrolled Type 1 Diabetes - Mellitus with or without complications
#  8 - Severe Protein Calorie Malnutrition
#  9 - Eating and Conduct Disorders
# 10 - Infectious Diseases
# 11 - Drug/Alcohol Induced Mental Disorders
# 12 - Cardiac Conditions
# 13 - Gangrene
# 14 - Chronic Obstructive Pulmonary Disease
# 15 - Artificial Openings - Digestive and Urinary
# 16 - Severe Musculoskeletal & Connective Tissue Diseases
# 17 - Poisoning
#
#Record Format: secondary diagnosis code|adjustment factor|comorbidity category
F70.|1.04|1
F71.|1.04|1
F72.|1.04|1
F73.|1.04|1
F78.A1|1.04|1
F78.A9|1.04|1
F79.|1.04|1
J95.00|1.09|3
J95.01|1.09|3
J95.02|1.09|3
J95.03|1.09|3
J95.04|1.09|3
J95.09|1.09|3
Z93.0|1.09|3
N17.0|1.06|4
N17.1|1.06|4
N17.2|1.06|4
N17.8|1.06|4
N17.9|1.06|4
O04.82|1.06|4
O07.32|1.06|4
O08.4|1.06|4
O90.49|1.06|4
T79.5XXA|1.06|4
I12.0|1.08|5
I13.11|1.08|5
I13.2|1.08|5
N18.30|1.08|5
N18.31|1.08|5
N18.32|1.08|5
N18.4|1.08|5
N18.5|1.08|5
N18.6|1.08|5
N18.9|1.08|5
N19.|1.08|5
Z49.01|1.08|5
Z49.02|1.08|5
Z49.31|1.08|5
Z91.151|1.08|5
Z91.158|1.08|5
Z99.2|1.08|5
C00.0|1.44|6
C00.1|1.44|6
C00.3|1.44|6
C00.4|1.44|6
C00.6|1.44|6
C00.8|1.44|6
C01.|1.44|6
C02.0|1.44|6
C02.1|1.44|6
C02.2|1.44|6
C02.3|1.44|6
C02.4|1.44|6
C02.8|1.44|6
C03.0|1.44|6
C03.1|1.44|6
C04.0|1.44|6
C04.1|1.44|6
C04.8|1.44|6
C05.0|1.44|6
C05.1|1.44|6
C05.2|1.44|6
C05.8|1.44|6
C06.0|1.44|6
C06.1|1.44|6
C06.2|1.44|6
C06.80|1.44|6
C06.89|1.44|6
C07.|1.44|6
C08.0|1.44|6
C08.1|1.44|6
C08.9|1.44|6
C09.0|1.44|6
C09.1|1.44|6
C09.8|1.44|6
C09.9|1.44|6
C10.0|1.44|6
C10.1|1.44|6
C10.2|1.44|6
C10.3|1.44|6
C10.4|1.44|6
C10.8|1.44|6
C10.9|1.44|6
C11.0|1.44|6
C11.1|1.44|6
C11.2|1.44|6
C11.3|1.44|6
C11.8|1.44|6
C11.9|1.44|6
C12.|1.44|6
C13.0|1.44|6
C13.1|1.44|6
C13.2|1.44|6
C13.8|1.44|6
C13.9|1.44|6
C14.0|1.44|6
C14.2|1.44|6
C14.8|1.44|6
C15.3|1.44|6
C15.4|1.44|6
C15.5|1.44|6
C15.8|1.44|6
C15.9|1.44|6
C16.0|1.44|6
C16.1|1.44|6
C16.2|1.44|6
C16.3|1.44|6
C16.4|1.44|6
C16.5|1.44|6
C16.6|1.44|6
C16.8|1.44|6
C16.9|1.44|6
C17.0|1.44|6
C17.1|1.44|6
C17.2|1.44|6
C17.3|1.44|6
C17.8|1.44|6
C17.9|1.44|6
C18.0|1.44|6
C18.1|1.44|6
C18.2|1.44|6
C18.3|1.44|6
C18.4|1.44|6
C18.5|1.44|6
C18.6|1.44|6
C18.7|1.44|6
C18.8|1.44|6
C18.9|1.44|6
C19.|1.44|6
C20.|1.44|6
C21.0|1.44|6
C21.1|1.44|6
C21.2|1.44|6
C21.8|1.44|6
C22.0|1.44|6
C22.1|1.44|6
C22.2|1.44|6
C22.3|1.44|6
C22.4|1.44|6
C22.7|1.44|6
C22.8|1.44|6
C22.9|1.44|6
C23.|1.44|6
C24.0|1.44|6
C24.1|1.44|6
C24.8|1.44|6
C24.9|1.44|6
C25.0|1.44|6
C25.1|1.44|6
C25.2|1.44|6
C25.3|1.44|6
C25.4|1.44|6
C25.7|1.44|6
C25.8|1.44|6
C25.9|1.44|6
C26.0|1.44|6
C26.1|1.44|6
C26.9|1.44|6
C30.0|1.44|6
C30.1|1.44|6
C31.0|1.44|6
C31.1|1.44|6
C31.2|1.44|6
C31.3|1.44|6
C31.8|1.44|6
C31.9|1.44|6
C32.0|1.44|6
C32.1|1.44|6
C32.2|1.44|6
C32.3|1.44|6
C32.8|1.44|6
C32.9|1.44|6
C33.|1.44|6
C34.00|1.44|6
C34.01|1.44|6
C34.02|1.44|6
C34.10|1.44|6
C34.11|1.44|6
C34.12|1.44|6
C34.2|1.44|6
C34.30|1.44|6
C34.31|1.44|6
C34.32|1.44|6
C34.80|1.44|6
C34.81|1.44|6
C34.82|1.44|6
C34.91|1.44|6
C34.92|1.44|6
C37.|1.44|6
C38.0|1.44|6
C38.1|1.44|6
C38.2|1.44|6
C38.3|1.44|6
C38.4|1.44|6
C38.8|1.44|6
C39.0|1.44|6
C39.9|1.44|6
C40.01|1.44|6
C40.02|1.44|6
C40.11|1.44|6
C40.12|1.44|6
C40.21|1.44|6
C40.22|1.44|6
C40.31|1.44|6
C40.32|1.44|6
C40.81|1.44|6
C40.82|1.44|6
C40.91|1.44|6
C40.92|1.44|6
C41.0|1.44|6
C41.1|1.44|6
C41.2|1.44|6
C41.3|1.44|6
C41.4|1.44|6
C41.9|1.44|6
C43.0|1.44|6
C43.111|1.44|6
C43.112|1.44|6
C43.121|1.44|6
C43.122|1.44|6
C43.21|1.44|6
C43.22|1.44|6
C43.30|1.44|6
C43.31|1.44|6
C43.39|1.44|6
C43.4|1.44|6
C43.51|1.44|6
C43.52|1.44|6
C43.59|1.44|6
C43.61|1.44|6
C43.62|1.44|6
C43.71|1.44|6
C43.72|1.44|6
C43.8|1.44|6
C44.00|1.44|6
C44.01|1.44|6
C44.02|1.44|6
C44.09|1.44|6
C44.1021|1.44|6
C44.1022|1.44|6
C44.1091|1.44|6
C44.1092|1.44|6
C44.1121|1.44|6
C44.1122|1.44|6
C44.1191|1.44|6
C44.1192|1.44|6
C44.1221|1.44|6
C44.1222|1.44|6
C44.1291|1.44|6
C44.1292|1.44|6
C44.1321|1.44|6
C44.1322|1.44|6
C44.1391|1.44|6
C44.1392|1.44|6
C44.1921|1.44|6
C44.1922|1.44|6
C44.1991|1.44|6
C44.1992|1.44|6
C44.202|1.44|6
C44.209|1.44|6
C44.212|1.44|6
C44.219|1.44|6
C44.222|1.44|6
C44.229|1.44|6
C44.292|1.44|6
C44.299|1.44|6
C44.300|1.44|6
C44.301|1.44|6
C44.309|1.44|6
C44.310|1.44|6
C44.311|1.44|6
C44.319|1.44|6
C44.320|1.44|6
C44.321|1.44|6
C44.329|1.44|6
C44.390|1.44|6
C44.391|1.44|6
C44.399|1.44|6
C44.40|1.44|6
C44.41|1.44|6
C44.42|1.44|6
C44.49|1.44|6
C44.500|1.44|6
C44.501|1.44|6
C44.509|1.44|6
C44.510|1.44|6
C44.511|1.44|6
C44.519|1.44|6
C44.520|1.44|6
C44.521|1.44|6
C44.529|1.44|6
C44.590|1.44|6
C44.591|1.44|6
C44.599|1.44|6
C44.602|1.44|6
C44.609|1.44|6
C44.612|1.44|6
C44.619|1.44|6
C44.622|1.44|6
C44.629|1.44|6
C44.692|1.44|6
